City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
191,Storsteinnes,69.2408,19.2344,32.65,98,100,3.09,NO,Snow
192,Adrar,20.5022,-10.0711,79.54,14,0,11.56,MR,Clear
193,Kifri,34.6959,44.9661,71.64,49,10,3.65,IQ,Clear
194,Bilma,18.6853,12.9164,92.21,11,49,7.92,NE,Clouds
195,Staryy Krym,45.0333,35.1,45.52,82,5,6.24,UA,Clear
196,Mantua,45.1667,10.7833,56.44,82,45,1.01,IT,Clouds
197,Vagur,61.4732,-6.8119,42.53,78,78,25.59,FO,Clouds
198,San Joaquin,37.9333,-121.3011,81.32,16,0,13.09,US,Clear
199,Carnarvon,-24.8667,113.6333,60.87,72,0,9.22,AU,Clear
200,Port Hawkesbury,45.6169,-61.3485,38.17,92,100,10.36,CA,Clouds
201,Coxim,-18.5067,-54.76,78.84,41,24,4.27,BR,Clouds
202,Kuryk,43.2,51.65,65.28,47,11,13.8,KZ,Clouds
203,Nanortalik,60.1432,-45.2371,37.42,85,100,4.0,GL,Clouds
204,Carrickmacross,53.9728,-6.7189,49.32,98,100,2.55,IE,Clouds
205,Barra Da Estiva,-13.6261,-41.3269,66.51,75,58,4.94,BR,Clouds
206,Shakawe,-18.3667,21.85,69.93,37,82,5.7,BW,Clouds
207,Mahates,10.2329,-75.1899,85.89,80,100,6.93,CO,Clouds
208,Oudtshoorn,-33.5907,22.2014,50.36,74,0,1.03,ZA,Clear
209,Mogadishu,2.0371,45.3438,82.4,78,100,14.58,SO,Rain
210,Marawi,7.9986,124.2928,72.34,93,99,0.31,PH,Clouds
211,Jorochito,-18.05,-63.4333,80.92,63,37,5.37,BO,Clouds
212,Balkhash,46.844,74.9804,64.33,44,100,9.82,KZ,Clouds
213,Kolyshley,52.7005,44.5367,38.7,58,9,3.0,RU,Clear
214,Mutis,6.2262,-77.4044,80.38,83,97,3.2,CO,Clouds
215,Rio Cuarto,-33.1307,-64.3499,58.77,47,40,13.8,AR,Clouds
216,Charlottesville,38.0293,-78.4767,71.13,73,40,4.61,US,Clouds
217,Barkhan,29.8977,69.5256,82.15,12,99,4.56,PK,Clouds
218,Elat,29.5581,34.9482,76.84,23,0,13.8,IL,Clear
219,Evansville,37.9748,-87.5558,77.0,25,0,10.36,US,Clear
220,Rovaniemi,66.5,25.7167,31.41,86,100,10.36,FI,Snow
221,Pindiga,9.9833,10.9333,84.79,44,74,5.41,NG,Rain
222,Asfi,32.2994,-9.2372,62.46,88,0,13.04,MA,Clear
223,Ilula,-7.6766,36.0366,59.45,95,42,5.17,TZ,Clouds
224,Zhanaozen,43.3,52.8,64.92,47,6,21.3,KZ,Clear
225,Guca,43.7767,20.2253,42.69,90,100,1.07,RS,Clouds
226,Yelnya,54.5786,33.1837,37.6,79,52,3.8,RU,Clouds
227,Ler,8.3018,30.1418,83.32,47,94,5.7,SS,Clouds
