City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
98,Gat,IL,65.08,Clear,31.61,34.7642,OlusHome
99,Richards Bay,ZA,61.75,Clear,-28.783,32.0377,BON Hotel Waterfront Richards Bay
100,Kalat,PK,62.08,Clouds,29.0225,66.5916,PHE Rest House
102,Kontagora,NG,80.91,Clouds,10.3999,5.4695,Queens Guest Inn
103,Ponta Do Sol,PT,66.0,Clear,32.6667,-17.1,Hotel do Campo
106,Ajdabiya,LY,67.24,Clouds,30.7554,20.2263,Almadina Hotel
107,Namibe,AO,74.57,Clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
108,Bosaso,SO,85.68,Clear,11.2842,49.1816,Red Sea Hotel
110,San Cristobal,VE,80.78,Clouds,7.7669,-72.225,Pirineos
112,Georgetown,MY,80.55,Thunderstorm,5.4112,100.3354,Cititel Penang
115,Ugoofaaru,MV,84.99,Clouds,5.6667,73.0,Ungoofaaru Inn
117,Camocim,BR,77.77,Clouds,-2.9022,-40.8411,Ilha Praia Hotel
119,Faya,SA,62.71,Clouds,18.3851,42.4509,املاك خالد الشعشوع
120,Ouesso,CG,71.53,Rain,1.6136,16.0517,ABENIE Hotel
121,Mariel,CU,84.34,Rain,22.9875,-82.7536,Casa De Alojamiento Marilda
122,Bocaiuva,BR,76.71,Clouds,-17.1078,-43.815,Hotel Maxim's
125,Chilca,PE,65.41,Clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
127,Neyshabur,IR,61.72,Rain,36.2133,58.7958,Amiran Hotel & Commercial Complex
130,Salalah,OM,86.09,Clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
134,Souillac,MU,73.78,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Tallahassee,US,75.67,Clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
138,Gopalpur,IN,81.12,Clouds,19.2667,84.9167,Gopalpur Palm Resort
140,Vila Franca Do Campo,PT,66.2,Clouds,37.7167,-25.4333,Pestana Bahia Praia
141,Praia,CV,72.14,Clouds,14.9215,-23.5087,LT Aparthotel
145,Rio Grande,BR,60.91,Clear,-32.035,-52.0986,Hotel Atlântico Rio Grande
148,Rincon,US,76.96,Clouds,32.296,-81.2354,Days Inn Rincon
149,Dhidhdhoo,MV,85.14,Clouds,6.8833,73.1,Dhidhoo beach
155,Cap Malheureux,MU,74.46,Clear,-19.9842,57.6142,Pereybere Hotel & Spa
156,Francisco Beltrao,BR,65.01,Clear,-26.0811,-53.055,Cristal Palace Hotel
157,Plattsburgh,US,68.32,Clear,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
159,Tabas,IR,71.38,Rain,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
